# ID           RA              DEC              zmag_auto     zmag_col      Ks_col        z50              z025             z975             zspec            lmass         density
G017643        28.393819       -14.186668       22.8022       22.7926       99.0000       0.62710000       0.62090000       0.62990000       -1.0000000       9.28708      0.893530
G017838        28.225963       -14.185416       22.9546       22.9518       19.6882       0.87130000       0.85100000       0.89850000       -1.0000000       10.0817       3.73921
G017875        28.078857       -14.185902       22.5872       22.6340       20.2381       0.87810000       0.86590000       0.89270000       -1.0000000       9.31703       4.84307
G017855        28.187025       -14.185837       22.2207       22.2268       19.8637       0.80980000       0.80130000       0.81890000       -1.0000000       9.66807       4.06573
G017900        28.019653       -14.188125       19.7867       20.0968       16.9931       0.78210000       0.77540000       0.78900000       -1.0000000       11.4273       7.42681
G017907        28.052272       -14.186188       21.7918       21.8248       18.6754       0.72770000       0.70920000       0.74490000       -1.0000000       10.2729       2.27036
G017980        28.264989       -14.186566       21.6455       21.7914       18.6585       0.67040000       0.65130000       0.68990000       -1.0000000       10.1598       3.65855
G017999        28.261252       -14.185934       21.8057       21.8761       19.4663       0.61560000       0.61010000       0.62250000       -1.0000000       9.55188       9.74790
G017998        28.233795       -14.185067       22.4247       22.4420       20.2491       0.77740000       0.77080000       0.78390000       -1.0000000       9.52040       2.97372
G018087        28.101425       -14.185492       21.2110       21.2339       18.3196       0.77180000       0.75590000       0.79430000       -1.0000000       10.3973       4.43831
G018122        28.276170       -14.184786       23.2163       23.2925       21.1170       0.66350000       0.65150000       0.67480000       -1.0000000       9.10086       6.80352
G018130        28.379352       -14.184674       22.7351       22.8678       99.0000       0.63840000       0.62130000       0.65650000       -1.0000000       9.14938      0.951832
G018152        28.386382       -14.184255       23.1500       23.1564       99.0000       0.86360000       0.85260000       0.87460000       -1.0000000       9.43170      0.709831
G018233        28.060759       -14.183921       23.1912       23.3117       21.6672       0.72150000       0.71100000       0.73140000       -1.0000000       9.35125       2.42956
G018192        28.185133       -14.184158       22.6022       22.6717       20.1451       0.87910000       0.84420000       0.89730000       -1.0000000       9.75645       4.03088
G018198        28.273676       -14.185618       20.8693       21.0294       18.4787       0.62620000       0.61670000       0.63460000       -1.0000000       10.0744       4.11301
G018207        28.153970       -14.183816       23.1725       23.1680       20.5680       0.64050000       0.62210000       0.65470000       -1.0000000       9.30066       1.71974
G018268        28.285923       -14.184265       22.7322       22.7347       20.0442       0.70280000       0.60060000       0.71640000       -1.0000000       9.94100       8.64699
G018174        28.199219       -14.184238       23.0045       23.0149       20.8054       0.67550000       0.54450000       0.68480000       -1.0000000       9.28045      0.850079
G018269        27.970985       -14.183695       22.3516       22.3444       19.8367       0.64690000       0.64060000       0.64990000       -1.0000000       9.42828      0.562455
G018518        27.978603       -14.182639       22.5371       22.5389       20.4500       0.79250000       0.78480000       0.80220000       -1.0000000       9.44265       1.35616
